"KO","STN","Pvalue","30L1","30L2","30L3","30R1","30R2","30R3","Protein","Description","Protein_name","Gene_name","GO_IDs","GO_terms","KODef","30L1_log","30L2_log","30L3_log","30R1_log","30R2_log","30R3_log","mean_control","mean_treatment","mean_control_log","mean_treatment_log","log_fc","log_pval","Expression"
"K00766",-2.74083668657919,0.000452614379084967,0,0,0,22.133,18.3393,11.0458,"Anthranilate phosphoribosyltransferase;Anthranilate phosphoribosyltransferase 2","anthranilate phosphoribosyltransferase family protein;anthranilate phosphoribosyltransferase","Anthranilate phosphoribosyltransferase family protein;Anthranilate phosphoribosyltransferase",";trpD","GO:0000162;GO:0004048;GO:0016757;GO:0000287","tryptophan biosynthetic process;anthranilate phosphoribosyltransferase activity;glycosyltransferase activity;magnesium ion binding","anthranilate phosphoribosyltransferase ",0,0,0,4.53188046870699,4.27346367125304,3.59045830562491,17.1727,0,4.13193414852831,0,-4.13193414852831,3.34427165308111,"Downregulated"
"K00800",-2.30060613267831,0.000888888888888889,0,0,0,16.359,13.973,12.15,"3-phosphoshikimate 1-carboxyvinyltransferase 1","3-phosphoshikimate 1-carboxyvinyltransferase","3-phosphoshikimate 1-carboxyvinyltransferase","aroA","GO:0008652;GO:0009073;GO:0009423;GO:0003866;GO:0005737;GO:0003824;GO:0016765","amino acid biosynthetic process;aromatic amino acid family biosynthetic process;chorismate biosynthetic process;3-phosphoshikimate 1-carboxyvinyltransferase activity;cytoplasm;catalytic activity;transferase activity, transferring alkyl or aryl (other than methyl) groups;cellular amino acid biosynthetic process","3-phosphoshikimate 1-carboxyvinyltransferase ",0,0,0,4.11761193572305,3.90429140456056,3.71699089440494,14.1606666666667,0,3.91296474489618,0,-3.91296474489618,3.05115252244738,"Downregulated"
"K00812",-1.54710743787408,0.00514869281045752,0,0,0,8.6608,9.6063,9.9412,"Aspartate aminotransferase","pyridoxal phosphate-dependent aminotransferase","Aminotransferase","","GO:0009058;GO:0008483;GO:0030170;GO:0003824","biosynthetic process;transaminase activity;pyridoxal phosphate binding;catalytic activity","aspartate aminotransferase ",0,0,0,3.27214266196418,3.40684955579444,3.45169907242434,9.40276666666667,0,3.37689709672765,0,-3.37689709672765,2.28830301897156,"Downregulated"
"K00826",-1.7794143219973,0.00305228758169935,7.8843,0,3.9043,13.472,17.466,15.464,"Branched-chain-amino-acid aminotransferase","branched-chain amino acid transaminase","","","GO:0009081;GO:0004084;GO:0003824","branched-chain amino acid metabolic process;branched-chain-amino-acid transaminase activity;catalytic activity","branched-chain amino acid aminotransferase ",3.15125810981474,0,2.2940472325512,3.85519240795915,4.20679948664706,4.04124298223188,15.4673333333333,3.92953333333333,4.0344116256127,1.81510178078865,-2.21930984482405,2.51537455025149,"Downregulated"
"K00856",-1.89442905987545,0.00195261437908497,0,0,0,11.548,13.099,9.9412,"putative sugar kinase YdjH","adenosine kinase","","","GO:0016773","phosphotransferase activity, alcohol group as acceptor","adenosine kinase ",0,0,0,3.64938552918152,3.81752093508571,3.45169907242434,11.5294,0,3.63953517889719,0,-3.63953517889719,2.7093835168614,"Downregulated"
"K00860",-1.79052242533894,0.00295098039215686,7.8843,8.4554,8.7846,20.208,20.959,22.092,"putative adenylyl-sulfate kinase","adenylyl-sulfate kinase","","","GO:0000103;GO:0004020;GO:0005524","sulfate assimilation;adenylylsulfate kinase activity;ATP binding","adenylylsulfate kinase ",3.15125810981474,3.24113849104758,3.29051287386569,4.40653667020517,4.45674045123912,4.5293212253457,21.0863333333333,8.37476666666667,4.46419944893,3.227636491576,-1.23656295735399,2.53003367616807,"Downregulated"
"K00872",-1.44328767308477,0.00656862745098039,0,0,0,7.6985,8.733,9.9412,"Homoserine kinase","homoserine kinase","","","GO:0006566;GO:0004413;GO:0005524","threonine metabolic process;homoserine kinase activity;ATP binding","homoserine kinase ",0,0,0,3.12076663899146,3.28288455506105,3.45169907242434,8.7909,0,3.28511675549228,0,-3.28511675549228,2.18252536906109,"Downregulated"
"K00873",-2.05301486820691,0.00146241830065359,0,0,0,13.472,13.099,11.046,"Pyruvate kinase","pyruvate kinase","","","GO:0006096;GO:0000287;GO:0004743;GO:0030955;GO:0003824","glycolytic process;magnesium ion binding;pyruvate kinase activity;potassium ion binding;catalytic activity","pyruvate kinase ",0,0,0,3.85519240795915,3.81752093508571,3.59048225892091,12.539,0,3.75439853398859,0,-3.75439853398859,2.83492838682965,"Downregulated"
"K00940",3.77461658243647,5.39215686274908e-05,69.973,38.653,52.708,16.359,13.973,24.301,"Nucleoside diphosphate kinase","MULTISPECIES: nucleoside-diphosphate kinase","Nucleoside diphosphate kinase","ndk","GO:0006099;GO:0006165;GO:0006183;GO:0006228;GO:0006241;GO:0004550;GO:0005524;GO:0046872;GO:0005737","tricarboxylic acid cycle;nucleoside diphosphate phosphorylation;GTP biosynthetic process;UTP biosynthetic process;CTP biosynthetic process;nucleoside diphosphate kinase activity;ATP binding;metal ion binding;cytoplasm","nucleoside-diphosphate kinase ",6.14919838465265,5.30935811394133,5.74706509372572,4.11761193572305,3.90429140456056,4.66112250219943,18.211,53.778,4.22767528082768,5.7352071974399,1.50753191661222,4.26823748226735,"Upregulated"
"K00962",-6.85857590195557,1e-06,35.479,31.406,35.138,118.36,116.15,111.56,"Polyribonucleotide nucleotidyltransferase","polyribonucleotide nucleotidyltransferase","Polyribonucleotide nucleotidyltransferase","pnp","GO:0006396;GO:0006402;GO:0000287;GO:0003723;GO:0004654;GO:0005737;GO:0003676","RNA processing;mRNA catabolic process;magnesium ion binding;RNA binding;polyribonucleotide nucleotidyltransferase activity;cytoplasm;nucleic acid binding","polyribonucleotide nucleotidyltransferase ",5.18899427628654,5.01818904901106,5.17544475964206,6.89917563048051,6.87221314397577,6.81455042346181,115.356666666667,34.0076666666667,6.86197973263937,5.12754269497989,-1.73443703765948,6,"Downregulated"
"K00975",3.30938142549501,0.000379084967320198,56.176,55.564,78.086,25.02,28.819,33.137,"Glucose-1-phosphate adenylyltransferase","glucose-1-phosphate adenylyltransferase","","","GO:0005978;GO:0008878;GO:0009058;GO:0016779","glycogen biosynthetic process;glucose-1-phosphate adenylyltransferase activity;biosynthetic process;nucleotidyltransferase activity","glucose-1-phosphate adenylyltransferase ",5.83733778827332,5.82181224077927,6.3053504227309,4.70154905694307,4.89815997158211,5.09326437307446,28.992,63.2753333333333,4.89765780053321,5.98816681726116,1.09050901672795,3.42126343725473,"Upregulated"
"K01082",-1.42701445707861,0.00683496732026144,0,0,0,9.6231,8.733,7.732,"3'(2'),5'-bisphosphate nucleotidase CysQ","3'(2'),5'-bisphosphate nucleotidase CysQ","3',5'-bisphosphate nucleotidase CysQ","","GO:0046854;GO:0046855","phosphatidylinositol phosphate biosynthetic process;inositol phosphate dephosphorylation","3'(2'), 5'-bisphosphate nucleotidase ",0,0,0,3.40913292524873,3.28288455506105,3.1263121303287,8.69603333333333,0,3.27277653687949,0,-3.27277653687949,2.16526355756493,"Downregulated"
"K01251",-3.47650158821983,0.000290849673202614,2.9566,0,0,26.945,26.199,17.673,"Adenosylhomocysteinase","adenosylhomocysteinase","","","","","adenosylhomocysteinase ",1.98426122068444,0,0,4.80451826988807,4.76548170512909,4.2228818241349,23.6056666666667,0.985533333333333,4.59762726638402,0.661420406894813,-3.93620685948921,3.53633141983667,"Downregulated"
"K01255",-2.09078437219846,0.00144444444444444,0,0,1.9521,11.548,13.973,13.255,"Cytosol aminopeptidase","leucyl aminopeptidase","Probable cytosol aminopeptidase","pepA","GO:0006508;GO:0030145;GO:0070006;GO:0005737;GO:0019538","proteolysis;manganese ion binding;metalloaminopeptidase activity;cytoplasm;protein metabolic process","leucyl aminopeptidase ",0,0,1.56174159235378,3.64938552918152,3.90429140456056,3.83339613416323,12.9253333333333,0.6507,3.7956910226351,0.520580530784594,-3.27511049185051,2.84029915713249,"Downregulated"
"K01358",-3.75818909719449,3.26797385620915e-05,16.754,8.4554,26.354,47.1535,50.6511,58.5429,"ATP-dependent Clp protease proteolytic subunit","MULTISPECIES: ATP-dependent Clp endopeptidase proteolytic subunit ClpP;ATP-dependent Clp endopeptidase proteolytic subunit ClpP;MULTISPECIES: ATP-dependent Clp protease proteolytic subunit;Endopeptidase Clp",";ATP-dependent Clp protease proteolytic subunit",";clpP-2","GO:0006508;GO:0004176;GO:0004252;GO:0005737","proteolysis;ATP-dependent peptidase activity;serine-type endopeptidase activity;cytoplasm","ATP-dependent Clp protease, protease subunit ",4.15007219725299,3.24113849104758,4.77367990992383,5.58956875794325,5.69072716900473,5.89585758374131,52.1158333333333,17.1878,5.7253845035631,4.05496353274147,-1.67042097082163,4.48572142648158,"Downregulated"
"K01428",-1.74705357424618,0.00343790849673203,5.9132,7.2475,2.9282,16.359,16.593,16.569,"Urease subunit alpha","urease subunit alpha","","","GO:0006807;GO:0009039;GO:0016151;GO:0016787;GO:0016810","nitrogen compound metabolic process;urease activity;nickel cation binding;hydrolase activity;hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds","urease subunit alpha ",2.78935366365094,3.04395687279021,1.97386838476023,4.11761193572305,4.13692961044789,4.13496017262534,16.507,5.36296666666667,4.12983390626543,2.60239297373379,-1.52744093253164,2.46370568666386,"Downregulated"
"K01495",-1.58991373122733,0.00475980392156863,0,0,0,12.51,8.733,7.732,"GTP cyclohydrolase 1","GTP cyclohydrolase I","","","GO:0046654;GO:0003934","tetrahydrofolate biosynthetic process;GTP cyclohydrolase I activity","GTP cyclohydrolase IA ",0,0,0,3.75595576955096,3.28288455506105,3.1263121303287,9.65833333333333,0,3.3883841516469,0,-3.3883841516469,2.32241093751789,"Downregulated"
"K01507",-2.43427535399402,0.000588235294117647,11.826,8.4554,11.713,27.907,31.4386,29.824,"Inorganic pyrophosphatase","inorganic diphosphatase",";Inorganic pyrophosphatase",";ppa","GO:0006796;GO:0000287;GO:0004427;GO:0005737","phosphate-containing compound metabolic process;magnesium ion binding;inorganic diphosphate phosphatase activity;cytoplasm;inorganic diphosphatase activity","inorganic pyrophosphatase ",3.68099940717571,3.24113849104758,3.66823261102206,4.85334698700562,5.01963965129083,4.94598218599746,29.7232,10.6648,4.93965627476464,3.53012350308178,-1.40953277168286,3.23044892137827,"Downregulated"
"K01524",-1.67361937575137,0.00408660130718954,0,0,0,12.51,11.353,6.6275,"Exopolyphosphatase","Ppx/GppA family phosphatase","","","","","exopolyphosphatase / guanosine-5'-triphosphate,3'-diphosphate pyrophosphatase ",0,0,0,3.75595576955096,3.62678954637581,2.93121027480393,10.1635,0,3.43798519691023,0,-3.43798519691023,2.38863773041506,"Downregulated"
"K01586",-1.30416423760434,0.00887091503267974,0,0,0,10.585,7.8597,5.5229,"Diaminopimelate decarboxylase","diaminopimelate decarboxylase","Diaminopimelate decarboxylase","lysA","GO:0009089;GO:0008836;GO:0030170;GO:0003824","lysine biosynthetic process via diaminopimelate;diaminopimelate decarboxylase activity;pyridoxal phosphate binding;catalytic activity","diaminopimelate decarboxylase ",0,0,0,3.5341861390901,3.14725784823403,2.70551351130368,7.9892,0,3.12898583287594,0,-3.12898583287594,2.05203158048988,"Downregulated"
"K01595",-4.01689738786917,3.26797385620915e-05,0,0,0,28.869,31.439,19.882,"Phosphoenolpyruvate carboxylase","phosphoenolpyruvate carboxylase","","","GO:0006099;GO:0015977;GO:0008964;GO:0003824","tricarboxylic acid cycle;carbon fixation;phosphoenolpyruvate carboxylase activity;catalytic activity","phosphoenolpyruvate carboxylase ",0,0,0,4.90057703259663,5.01965744103695,4.38418798935749,26.73,0,4.76814082099702,0,-4.76814082099702,4.48572142648158,"Downregulated"
"K01599",-4.22417196720867,3.26797385620915e-05,0,0,2.9282,26.945,29.692,32.033,"Uroporphyrinogen decarboxylase","uroporphyrinogen decarboxylase","","","GO:0006779;GO:0004853","porphyrin-containing compound biosynthetic process;uroporphyrinogen decarboxylase activity","uroporphyrinogen decarboxylase ",0,0,1.97386838476023,4.80451826988807,4.93979075490058,5.04583609353236,29.5566666666667,0.976066666666667,4.93004837277367,0.657956128253408,-4.27209224452026,4.48572142648158,"Downregulated"
"K01627",-2.34418927876278,0.000740196078431373,0,0,0,16.359,14.846,12.15,"2-dehydro-3-deoxyphosphooctonate aldolase","3-deoxy-8-phosphooctulonate synthase","","","GO:0009058;GO:0008676;GO:0005737","biosynthetic process;3-deoxy-8-phosphooctulonate synthase activity;cytoplasm","2-dehydro-3-deoxyphosphooctonate aldolase (KDO 8-P synthase) ",0,0,0,4.11761193572305,3.98604680222616,3.71699089440494,14.4516666666667,0,3.94021654411805,0,-3.94021654411805,3.13065322013273,"Downregulated"
"K01647",-1.72218050899497,0.00367647058823529,0,0,0,9.6231,9.6063,12.15,"Citrate synthase","citrate synthase","","","GO:0046912;GO:0005737","acyltransferase activity, acyl groups converted into alkyl on transfer;cytoplasm","citrate synthase ",0,0,0,3.40913292524873,3.40684955579444,3.71699089440494,10.4598,0,3.51099112514937,0,-3.51099112514937,2.4345689040342,"Downregulated"
"K01649",-1.8203953699173,0.00249509803921569,0,0,0,13.472,13.099,6.6275,"2-isopropylmalate synthase","2-isopropylmalate synthase","","","GO:0009098;GO:0003852;GO:0019752;GO:0003824;GO:0046912","leucine biosynthetic process;2-isopropylmalate synthase activity;carboxylic acid metabolic process;catalytic activity;acyltransferase activity, acyl groups converted into alkyl on transfer","2-isopropylmalate synthase ",0,0,0,3.85519240795915,3.81752093508571,2.93121027480393,11.0661666666667,0,3.5346412059496,0,-3.5346412059496,2.60291238508914,"Downregulated"
"K01682",-1.390198266433,0.00760947712418301,0,0,0,7.6985,12.226,5.5229,"Aconitate hydratase B","bifunctional aconitate hydratase 2/2-methylisocitrate dehydratase","","","GO:0006099;GO:0003994;GO:0051539;GO:0005829","tricarboxylic acid cycle;aconitate hydratase activity;4 iron, 4 sulfur cluster binding;cytosol","aconitate hydratase 2 / 2-methylisocitrate dehydratase ",0,0,0,3.12076663899146,3.72530490157444,2.70551351130368,8.48246666666667,0,3.18386168395653,0,-3.18386168395653,2.11864518421283,"Downregulated"
"K01696",-1.36851909279407,0.0078578431372549,0,0,0,10.585,7.8597,6.6275,"Tryptophan synthase beta chain","tryptophan synthase subunit beta","Tryptophan synthase beta chain","trpB","GO:0000162;GO:0004834;GO:0006568","tryptophan biosynthetic process;tryptophan synthase activity;tryptophan metabolic process","tryptophan synthase beta chain ",0,0,0,3.5341861390901,3.14725784823403,2.93121027480393,8.3574,0,3.20421808737602,0,-3.20421808737602,2.10469664507175,"Downregulated"
"K01698",-1.3641334847082,0.00790686274509804,10.841,3.6238,11.713,17.322,21.832,15.464,"Delta-aminolevulinic acid dehydratase","porphobilinogen synthase","","","GO:0033014;GO:0004655;GO:0046872","tetrapyrrole biosynthetic process;porphobilinogen synthase activity;metal ion binding","porphobilinogen synthase ",3.56571901995217,2.20907899618453,3.66823261102206,4.19550508918433,4.51298533481368,4.04124298223188,18.206,8.72593333333333,4.24991113540996,3.14767687571959,-1.10223425969038,2.10199580003694,"Downregulated"
