"KO","STN","Pvalue","30L1","30L2","30L3","27R1","27R2","27R3","Protein","Description","Protein_name","Gene_name","GO_IDs","GO_terms","KODef","30L1_log","30L2_log","30L3_log","27R1_log","27R2_log","27R3_log","mean_control","mean_treatment","mean_control_log","mean_treatment_log","log_fc","log_pval","Expression","category"
"K00281",-1.775395702,0.00468012,0,0,4.5907,8.0201,11.42,11.381,"Glycine dehydrogenase (decarboxylating)","MAG: glycine dehydrogenase (aminomethyl-transferring)","Glycine dehydrogenase     )","gcvP","GO:0019464;GO:0004375;GO:0006544;GO:0006546;GO:0003824","glycine decarboxylation via glycine cleavage system;glycine dehydrogenase (decarboxylating) activity;glycine metabolic process;glycine catabolic process;catalytic activity","glycine dehydrogenase ",0,0,2.483028931,3.173143428,3.634593268,3.630055939,10.2737,1.530233333,3.479264212,0.82767631,-2.651587901,2.32974305,"Downregulated","Amino acid metabolism"
"K00325",-1.753135515,0.005085202,5.1142,12.631,16.067,17.644,24.183,28.119,"NAD(P) transhydrogenase subunit beta","MULTISPECIES: NAD(P)(+) transhydrogenase (Re/Si-specific) subunit beta","","","GO:0008750;GO:0050661;GO:0016020","NAD(P)+ transhydrogenase (AB-specific) activity;NADP binding;membrane","H+-translocating NAD(P) transhydrogenase subunit beta ",2.612163745,3.7688195,4.093137582,4.220639513,4.654378254,4.863888906,23.31533333,11.27073333,4.579635558,3.491373609,-1.088261949,2.293691808,"Downregulated","Energy and redox"
"K00367",-2.724203735,0.000372197,0,0,0,6.4161,15.45,18.076,"Nitrate reductase","MAG: nitrate reductase catalytic subunit","Nitrate reductase catalytic subunit","","GO:0042128;GO:0016491;GO:0043546;GO:0046872;GO:0051539","nitrate assimilation;oxidoreductase activity;molybdopterin cofactor binding;metal ion binding;4 iron, 4 sulfur cluster binding","ferredoxin-nitrate reductase ",0,0,0,2.890660698,4.040015679,4.253686783,13.31403333,0,3.728121053,0,-3.728121053,3.429226771,"Downregulated","S and N metabolism"
"K00392",-1.814846004,0.004182362,8.5237,7.2178,13.772,19.248,22.84,23.432,"Sulfite reductase [ferredoxin]","MAG: sulfite reductase, ferredoxin dependent","Assimilatory sulfite reductase","","GO:0020037;GO:0050311;GO:0051539;GO:0016491;GO:0051536;GO:0046872","heme binding;sulfite reductase (ferredoxin) activity;4 iron, 4 sulfur cluster binding;oxidoreductase activity;iron-sulfur cluster binding;metal ion binding","sulfite reductase (ferredoxin) ",3.251522176,3.038752219,3.884793263,4.339707507,4.575312331,4.610700062,21.84,9.837833333,4.5085733,3.391689219,-1.116884081,2.378578408,"Downregulated","S and N metabolism"
"K00548",-3.175332265,8.81913e-05,0,0,6.886,15.238,25.527,21.424,"Methionine synthase","MAG: methionine synthase","Methionine synthase","metH","GO:0009086;GO:0032259;GO:0042558;GO:0008270;GO:0008705;GO:0031419;GO:0044237;GO:0046872","methionine biosynthetic process;methylation;pteridine-containing compound metabolic process;zinc ion binding;methionine synthase activity;cobalamin binding;cellular metabolic process;metal ion binding","5-methyltetrahydrofolate--homocysteine methyltransferase ",0,0,2.97929371,4.021302045,4.729389622,4.486971744,20.72966667,2.295333333,4.41255447,0.993097903,-3.419456567,4.054574106,"Downregulated","Amino acid metabolism"
"K00688",-3.955512887,1.49477e-06,3.4095,3.6089,10.329,20.852,32.2443,44.186,"Maltodextrin phosphorylase","MAG: glycogen phosphorylase","Alpha-1,4 glucan phosphorylase","","GO:0005975;GO:0008184;GO:0030170;GO:0102250;GO:0102499;GO:0004645","carbohydrate metabolic process;glycogen phosphorylase activity;pyridoxal phosphate binding;linear malto-oligosaccharide phosphorylase activity;SHG alpha-glucan phosphorylase activity;1,4-alpha-oligoglucan phosphorylase activity","glycogen phosphorylase ",2.140615076,2.204422466,3.501948616,4.449693423,5.055035095,5.497803946,32.42743333,5.782466667,5.000844155,2.615662053,-2.385182102,5.825426118,"Downregulated","Respiration"
"K00764",-1.753605478,0.005085202,0,0,0,8.0201,10.748,5.356,"Amidophosphoribosyltransferase","MAG: amidophosphoribosyltransferase","Amidophosphoribosyltransferase","purF","GO:0006189;GO:0006541;GO:0009113;GO:0000287;GO:0004044;GO:0051539","'de novo' IMP biosynthetic process;glutamine metabolic process;purine nucleobase biosynthetic process;magnesium ion binding;amidophosphoribosyltransferase activity;4 iron, 4 sulfur cluster binding","amidophosphoribosyltransferase ",0,0,0,3.173143428,3.554343266,2.668119125,8.041366667,0,3.131868606,0,-3.131868606,2.293691808,"Downregulated","Purines, pyrimidines, nucleotides"
"K01139",-1.71741919,0.005617339,0,0,0,4.8121,10.076,8.7035,"GTP pyrophosphokinase","MAG: (p)ppGpp synthetase","ppGpp synthetase","","GO:0015969","guanosine tetraphosphate metabolic process","GTP diphosphokinase / guanosine-3',5'-bis(diphosphate) 3'-diphosphatase ",0,0,0,2.539059525,3.469365054,3.278505213,7.863866667,0,3.095643264,0,-3.095643264,2.250469342,"Downregulated","Regulatory system and stress"
"K01414",-1.61366961,0.00745142,0,0,2.2953,3.2081,8.0611,12.72,"Oligopeptidase A","MAG: peptidase M3","Oligopeptidase A","","GO:0006508;GO:0004222;GO:0046872;GO:0008233;GO:0008237","proteolysis;metalloendopeptidase activity;metal ion binding;peptidase activity;metallopeptidase activity","oligopeptidase A ",0,0,1.720409812,2.073168989,3.179686201,3.778208576,7.9964,0.7651,3.010354589,0.573469937,-2.436884651,2.127760955,"Downregulated","Translation"
"K01428",-1.804060841,0.004267564,5.1142,3.6089,8.0337,12.03,18.137,16.737,"Urease subunit alpha","MAG: urease subunit alpha","Urease subunit alpha","ureC","GO:0043419;GO:0009039;GO:0016151;GO:0005737;GO:0006807;GO:0016787;GO:0016810","urea catabolic process;urease activity;nickel cation binding;cytoplasm;nitrogen compound metabolic process;hydrolase activity;hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds","urease subunit alpha ",2.612163745,2.204422466,3.175317004,3.703765179,4.258292779,4.148690111,15.63466667,5.5856,4.036916023,2.663967738,-1.372948285,2.369820005,"Downregulated","S and N metabolism"
"K01442",-1.735103812,0.005375187,0,0,10.329,13.634,9.4046,16.7375,"Penicillin acylase;putative protein YxeI","MAG: hypothetical protein DCO99_01140;MAG: choloylglycine hydrolase","CBAH domain-containing protein;Choloylglycine hydrolase","","GO:0016787","hydrolase activity","choloylglycine hydrolase ",0,0,3.501948616,3.871252259,3.379149597,4.148730779,13.2587,3.443,3.799710878,1.167316205,-2.632394673,2.269606435,"Downregulated","Other metabolites"
"K01682",-4.272606229,1e-06,10.228,14.436,14.92,49.725,50.382,47.534,"Aconitate hydratase B","MAG: bifunctional aconitate hydratase 2/2-methylisocitrate dehydratase","Aconitate hydratase B","acnB","GO:0006099;GO:0003723;GO:0003994;GO:0046872;GO:0047456;GO:0047780;GO:0051539;GO:0005829","tricarboxylic acid cycle;RNA binding;aconitate hydratase activity;metal ion binding;2-methylisocitrate dehydratase activity;citrate dehydratase activity;4 iron, 4 sulfur cluster binding;cytosol","aconitate hydratase 2 / 2-methylisocitrate dehydratase ",3.489029064,3.948227044,3.992768431,5.664625055,5.683191142,5.600923862,49.21366667,13.19466667,5.649580019,3.810008179,-1.83957184,6,"Downregulated","Respiration"
"K01869",-2.176406092,0.001458894,5.1142,5.4134,10.329,16.04,22.168,22.763,"Leucine--tRNA ligase","MAG: leucine--tRNA ligase","Leucine--tRNA ligase","leuS","GO:0006429;GO:0106074;GO:0002161;GO:0004823;GO:0005524;GO:0005737;GO:0006418;GO:0000166;GO:0004812","leucyl-tRNA aminoacylation;aminoacyl-tRNA metabolism involved in translational fidelity;aminoacyl-tRNA editing activity;leucine-tRNA ligase activity;ATP binding;cytoplasm;tRNA aminoacylation for protein translation;nucleotide binding;aminoacyl-tRNA ligase activity","leucyl-tRNA synthetase ",2.612163745,2.68108939,3.501948616,4.09085343,4.534061602,4.570645078,20.32366667,6.9522,4.398520037,2.931733917,-1.46678612,2.8359763,"Downregulated","Translation"
"K01870",-1.660262835,0.006488789,0,3.6089,4.5907,8.0201,12.763,12.051,"Isoleucine--tRNA ligase","MAG: isoleucine--tRNA ligase","Isoleucine--tRNA ligase","ileS","GO:0006428;GO:0106074;GO:0000049;GO:0002161;GO:0004822;GO:0005524;GO:0008270;GO:0005737;GO:0006418;GO:0000166;GO:0004812","isoleucyl-tRNA aminoacylation;aminoacyl-tRNA metabolism involved in translational fidelity;tRNA binding;aminoacyl-tRNA editing activity;isoleucine-tRNA ligase activity;ATP binding;zinc ion binding;cytoplasm;tRNA aminoacylation for protein translation;nucleotide binding;aminoacyl-tRNA ligase activity","isoleucyl-tRNA synthetase ",0,2.204422466,2.483028931,3.173143428,3.782723072,3.706088449,10.9447,2.7332,3.553984983,1.562483799,-1.991501184,2.187836332,"Downregulated","Translation"
"K01872",-2.61753826,0.000563528,0,0,0,7.2181,14.779,16.068,"Alanine--tRNA ligase","MAG: alanine--tRNA ligase","Alanine--tRNA ligase","alaS","GO:0006419;GO:0000049;GO:0004813;GO:0005524;GO:0008270;GO:0005737;GO:0043039;GO:0000166;GO:0003676;GO:0004812","alanyl-tRNA aminoacylation;tRNA binding;alanine-tRNA ligase activity;ATP binding;zinc ion binding;cytoplasm;tRNA aminoacylation;nucleotide binding;nucleic acid binding;aminoacyl-tRNA ligase activity","alanyl-tRNA synthetase ",0,0,0,3.038804886,3.979933872,4.093222111,12.68836667,0,3.703986956,0,-3.703986956,3.249084768,"Downregulated","Translation"
"K01875",-1.559587016,0.008460389,0,5.4134,5.7383,5.6141,16.122,14.059,"Serine--tRNA ligase","MAG: serine--tRNA ligase","Serine--tRNA ligase     synthetase)","serS","GO:0006434;GO:0004828;GO:0005524;GO:0006418;GO:0000166;GO:0004812;GO:0005737;GO:0016260;GO:0097056","seryl-tRNA aminoacylation;serine-tRNA ligase activity;ATP binding;tRNA aminoacylation for protein translation;nucleotide binding;aminoacyl-tRNA ligase activity;cytoplasm;selenocysteine biosynthetic process;selenocysteinyl-tRNA(Sec) biosynthetic process","seryl-tRNA synthetase ",0,2.68108939,2.752384661,2.725544858,4.097779326,3.912554065,11.9317,3.717233333,3.578626083,1.811158017,-1.767468066,2.072609687,"Downregulated","Translation"
"K01876",-1.808831844,0.004201794,5.1142,9.0223,10.329,12.03,26.87,19.415,"Aspartate--tRNA ligase","MAG: aspartate--tRNA ligase","Aspartate--tRNA ligase","aspS","GO:0006422;GO:0003676;GO:0004815;GO:0005524;GO:0050560;GO:0005737;GO:0006418;GO:0000166;GO:0004812;GO:0016874","aspartyl-tRNA aminoacylation;nucleic acid binding;aspartate-tRNA ligase activity;ATP binding;aspartate-tRNA(Asn) ligase activity;cytoplasm;tRNA aminoacylation for protein translation;nucleotide binding;aminoacyl-tRNA ligase activity;ligase activity","aspartyl-tRNA synthetase ",2.612163745,3.325141723,3.501948616,3.703765179,4.800641097,4.351557662,19.43833333,8.155166667,4.285321313,3.146418028,-1.138903285,2.376565272,"Downregulated","Translation"
"K01890",-2.071035353,0.002053812,0,3.6089,8.0337,11.228,20.153,14.729,"Phenylalanine--tRNA ligase beta subunit","MAG: phenylalanine--tRNA ligase subunit beta","Phenylalanine--tRNA ligase beta subunit","pheT","GO:0006432;GO:0000049;GO:0000287;GO:0004826;GO:0005524;GO:0005737;GO:0003723","phenylalanyl-tRNA aminoacylation;tRNA binding;magnesium ion binding;phenylalanine-tRNA ligase activity;ATP binding;cytoplasm;RNA binding","phenylalanyl-tRNA synthetase beta chain ",0,2.204422466,3.175317004,3.612116552,4.402790381,3.975355047,15.37,3.880866667,3.996753993,1.79324649,-2.203507503,2.687439385,"Downregulated","Translation"
"K01955",-2.205580984,0.001434978,6.8189,14.436,18.363,23.258,32.244,33.475,"Carbamoyl-phosphate synthase large chain","MAG: carbamoyl phosphate synthase large subunit","Carbamoyl-phosphate synthase large chain","carB","GO:0006526;GO:0044205;GO:0004088;GO:0005524;GO:0046872;GO:0006807","arginine biosynthetic process;'de novo' UMP biosynthetic process;carbamoyl-phosphate synthase (glutamine-hydrolyzing) activity;ATP binding;metal ion binding;nitrogen compound metabolic process","carbamoyl-phosphate synthase large subunit ",2.966965657,3.948227044,4.275230588,4.600388704,5.055022076,5.107478647,29.659,13.20596667,4.920963142,3.730141096,-1.190822046,2.843154885,"Downregulated","Purines, pyrimidines, nucleotides"
"K02287",-1.544321577,0.008744395,0,0,11.477,11.228,10.748,16.068,"hypothetical protein","phycobilisome linker polypeptide","","","GO:0030089","phycobilisome","phycocyanin-associated, rod",0,0,3.641199186,3.612116552,3.554343266,4.093222111,12.68133333,3.825666667,3.753227309,1.213733062,-2.539494248,2.058270252,"Downregulated","Photosynthesis and chlorophyll"
"K02335",-1.998188413,0.00261435,0,0,5.7383,3.2081,15.45,18.076,"DNA polymerase I","MAG: DNA polymerase I","DNA polymerase I","polA","GO:0006261;GO:0006281;GO:0071897;GO:0090305;GO:0003677;GO:0003887;GO:0008408;GO:0006139;GO:0006260;GO:0003676;GO:0003824","DNA-templated DNA replication;DNA repair;DNA biosynthetic process;nucleic acid phosphodiester bond hydrolysis;DNA binding;DNA-directed DNA polymerase activity;3'-5' exonuclease activity;nucleobase-containing compound metabolic process;DNA replication;nucleic acid binding;catalytic activity","DNA polymerase I ",0,0,2.752384661,2.073168989,4.040015679,4.253686783,12.2447,1.912766667,3.455623817,0.917461554,-2.538162263,2.582636308,"Downregulated","DNA"
"K02471",-2.279859738,0.001246637,0,0,5.7383,5.6141,20.153,16.068,"Vitamin B12 transport ATP-binding protein BacA","MAG: ABC transporter ATP-binding protein","ABC transporter ATP-binding protein","","GO:0055085;GO:0005524;GO:0140359;GO:0016020;GO:0016021","transmembrane transport;ATP binding;ABC-type transporter activity;membrane;integral component of membrane","vitamin B12/bleomycin/antimicrobial peptide transport system ATP-binding/permease protein",0,0,2.752384661,2.725544858,4.402790381,4.093222111,13.94503333,1.912766667,3.740519117,0.917461554,-2.823057563,2.904260067,"Downregulated","Transport"
"K02492",-1.492730041,0.009874439,0,0,0,1.604,10.076,8.7035,"Glutamyl-tRNA reductase","glutamyl-tRNA reductase","","","GO:0033014;GO:0008883;GO:0050661","tetrapyrrole biosynthetic process;glutamyl-tRNA reductase activity;NADP binding","glutamyl-tRNA reductase ",0,0,0,1.380729449,3.469365054,3.278505213,6.7945,0,2.709533239,0,-2.709533239,2.005487548,"Downregulated","Photosynthesis and chlorophyll"
"K02520",-2.014950735,0.00241704,11.933,0,8.0337,19.248,20.153,18.746,"Translation initiation factor IF-3","MULTISPECIES: translation initiation factor IF-3","","","GO:0006413;GO:0003743","translational initiation;translation initiation factor activity","translation initiation factor IF-3",3.692985063,0,3.175317004,4.339707507,4.402790381,4.303488527,19.38233333,6.655566667,4.348662139,2.289434022,-2.059228116,2.616716098,"Downregulated","Translation"
"K02881",-1.707452727,0.00571151,0,0,0,8.0201,8.0611,7.3645,"50S ribosomal protein L18","MULTISPECIES: 50S ribosomal protein L18","","","GO:0006412;GO:0003735;GO:0005840","translation;structural constituent of ribosome;ribosome","large subunit ribosomal protein L18",0,0,0,3.173143428,3.179686201,3.064279304,7.815233333,0,3.139036311,0,-3.139036311,2.24324908,"Downregulated","Translation"
"K03147",-2.385839741,0.001041854,5.1142,9.0223,11.477,16.04,37.618,19.415,"Phosphomethylpyrimidine synthase","MAG: thiamine biosynthesis protein ThiC","Phosphomethylpyrimidine synthase","thiC","GO:0009228;GO:0009229;GO:0008270;GO:0016830;GO:0051539;GO:0051536","thiamine biosynthetic process;thiamine diphosphate biosynthetic process;zinc ion binding;carbon-carbon lyase activity;4 iron, 4 sulfur cluster binding;iron-sulfur cluster binding","phosphomethylpyrimidine synthase ",2.612163745,3.325141723,3.641199186,4.09085343,5.271201545,4.351557662,24.35766667,8.537833333,4.571204213,3.192834884,-1.378369328,2.98219334,"Downregulated","Cofactor"
"K03217",-1.554142145,0.008533632,0,0,6.886,9.6242,11.42,10.042,"Membrane protein insertase YidC","MULTISPECIES: membrane protein insertase YidC","","","GO:0032977;GO:0016020","membrane insertase activity;membrane","YidC/Oxa1 family membrane protein insertase",0,0,2.97929371,3.409282306,3.634593268,3.464929601,10.36206667,2.295333333,3.502935058,0.993097903,-2.509837155,2.068866075,"Downregulated","Translation"
"K03218",-1.587643426,0.007926756,0,0,0,1.604,8.7328,11.381,"23S rRNA (guanosine-2'-O-)-methyltransferase RlmB","23S rRNA (guanosine(2251)-2'-O)-methyltransferase RlmB","","","GO:0006396;GO:0003723;GO:0008173;GO:0008168","RNA processing;RNA binding;RNA methyltransferase activity;methyltransferase activity","23S rRNA (guanosine2251-2'-O)-methyltransferase ",0,0,0,1.380729449,3.282854909,3.630055939,7.239266667,0,2.764546766,0,-2.764546766,2.100904491,"Downregulated","Translation"
"K03321",-2.079077868,0.002044843,3.4095,0,10.329,8.8222,24.855,16.068,"Bicarbonate transporter BicA","MAG: sodium-independent anion transporter","Sodium-independent anion transporter","","GO:1902358;GO:0008271;GO:0016020;GO:0055085;GO:0015301;GO:0016021","sulfate transmembrane transport;secondary active sulfate transmembrane transporter activity;membrane;transmembrane transport;obsolete anion:anion antiporter activity;integral component of membrane","sulfate permease, SulP family",2.140615076,0,3.501948616,3.296046199,4.6923714,4.093222111,16.58173333,4.5795,4.027213236,1.880854564,-2.146358672,2.68934002,"Downregulated","S and N metabolism"
"K03403",-2.962663199,0.000182362,0,0,2.2953,12.03,12.092,22.763,"Aerobic cobaltochelatase subunit CobN","MAG: magnesium chelatase subunit H","Magnesium chelatase","","GO:0006094;GO:0015979;GO:0015995;GO:0005524;GO:0016851;GO:0009058","gluconeogenesis;photosynthesis;chlorophyll biosynthetic process;ATP binding;magnesium chelatase activity;biosynthetic process","magnesium chelatase subunit H ",0,0,1.720409812,3.703765179,3.710613602,4.570645078,15.62833333,0.7651,3.995007953,0.573469937,-3.421538016,3.739066287,"Downregulated","Photosynthesis and chlorophyll"
"K03404",-1.707774136,0.00571151,0,0,0,4.0101,7.3893,12.051,"Magnesium-chelatase 38 kDa subunit","MAG: magnesium chelatase ATPase subunit D","Mg-protoporphyrin IX chelatase","bchD","GO:0015979;GO:0015995;GO:0005524;GO:0016851","photosynthesis;chlorophyll biosynthetic process;ATP binding;magnesium chelatase activity","magnesium chelatase subunit D ",0,0,0,2.324839399,3.068550438,3.706088449,7.8168,0,3.033159429,0,-3.033159429,2.24324908,"Downregulated","Photosynthesis and chlorophyll"
"K03545",-3.410527336,2.69058e-05,17.047,16.24,26.396,45.715,51.054,55.568,"Trigger factor","MAG: trigger factor","Trigger factor","tig","GO:0006457;GO:0007049;GO:0015031;GO:0051301;GO:0003755;GO:0005737","protein folding;cell cycle;protein transport;cell division;peptidyl-prolyl cis-trans isomerase activity;cytoplasm","trigger factor",4.173687129,4.107687869,4.77589336,5.545813963,5.701937124,5.821914259,50.779,19.89433333,5.689888449,4.352422786,-1.337465663,4.570153613,"Downregulated","Translation"
"K03585",-1.99823367,0.00261435,0,0,5.7383,7.2181,17.4658,12.051,"Efflux pump periplasmic linker BepF;Toluene efflux pump periplasmic linker protein TtgD","MAG: efflux RND transporter periplasmic adaptor subunit","Efflux RND transporter periplasmic adaptor subunit","","GO:0055085;GO:0022857;GO:0016020","transmembrane transport;transmembrane transporter activity;membrane","membrane fusion protein, multidrug efflux system",0,0,2.752384661,3.038804886,4.206783861,3.706088449,12.24496667,1.912766667,3.650559065,0.917461554,-2.733097512,2.582636308,"Downregulated","Cell wall and signaling"
"K03592",-2.34690819,0.001092676,3.4095,0,3.443,6.4161,20.153,16.068,"Metalloprotease PmbA","MAG: peptidase C69","Peptidase C69","","GO:0006508;GO:0008237","proteolysis;metallopeptidase activity","PmbA protein",2.140615076,0,2.151534141,2.890660698,4.402790381,4.093222111,14.21236667,2.284166667,3.79555773,1.430716406,-2.364841324,2.961508741,"Downregulated","Translation"
"K03671",-1.926499579,0.003139013,0,5.4134,4.5907,10.426,12.763,17.407,"Thioredoxin 1","MULTISPECIES: thioredoxin domain-containing protein;MULTISPECIES: thioredoxin","","","GO:0015035","protein-disulfide reductase activity","thioredoxin 1",0,2.68108939,2.483028931,3.51424853,3.782723072,4.202182608,13.532,3.3347,3.833051403,1.721372774,-2.11167863,2.503206823,"Downregulated","Regulatory system and stress"
"K03695",-4.196588453,1e-06,0,0,12.624,28.07,34.932,36.152,"Chaperone protein ClpB 1","MAG: ATP-dependent chaperone ClpB","Chaperone protein ClpB;ATP-dependent chaperone ClpB","clpB;","GO:0009408;GO:0042026;GO:0005524;GO:0016887;GO:0005737","response to heat;protein refolding;ATP binding;ATP hydrolysis activity;cytoplasm","ATP-dependent Clp protease ATP-binding subunit ClpB",0,0,3.768078435,4.861459166,5.167197334,5.215367972,33.05133333,4.208,5.081341491,1.256026145,-3.825315346,6,"Downregulated","Regulatory system and stress"
"K03701",-1.604201869,0.007636771,10.228,5.4134,22.953,26.466,18.809,27.449,"UvrABC system protein A","MAG: excinuclease ABC subunit A","UvrABC system protein A","uvrA","GO:0006289;GO:0009432;GO:0090305;GO:0003677;GO:0005524;GO:0008270;GO:0009381;GO:0016887;GO:0005737;GO:0009380","nucleotide-excision repair;SOS response;nucleic acid phosphodiester bond hydrolysis;DNA binding;ATP binding;zinc ion binding;excinuclease ABC activity;ATP hydrolysis activity;cytoplasm;excinuclease repair complex","excinuclease ABC subunit A",3.489029064,2.68108939,4.582134453,4.779574914,4.308084147,4.830306037,24.24133333,12.8648,4.639321699,3.584084302,-1.055237397,2.117090215,"Downregulated","Purines, pyrimidines, nucleotides"
